### LOVD-version 3000-020 ### Full data download ### To import, do not remove or alter this header ###
# charset = UTF-8

## Genes ## Do not remove or alter this header ##
{{id}}	{{name}}	{{chromosome}}	{{chrom_band}}	{{refseq_genomic}}	{{refseq_UD}}	{{id_hgnc}}	{{id_entrez}}	{{id_omim}}
"ABCA7"	"ATP-binding cassette, sub-family A (ABC1), member 7"	"19"	"p13.3"	"NC_000019.9"	"UD_144439236429"	"37"	"10347"	"605414"
"ABCA9"	"ATP-binding cassette, sub-family A (ABC1), member 9"	"17"	"q24"	"NC_000017.10"	"UD_144439237124"	"39"	"10350"	"612507"
"ABCA11P"	"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"	"4"	"p16.3"	"NC_000004.11"	"UD_144439233899"	"31"	"79963"	""
"ABCA17P"	"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene"	"16"	"p13.3"	"NC_000016.9"	"UD_144439234964"	"32972"	"650655"	""
"ABCB4"	"ATP-binding cassette, sub-family B (MDR/TAP), member 4"	"7"	"q21"	"NG_007118.1"	"UD_144439237739"	"45"	"5244"	"171060"
"ABCB5"	"ATP-binding cassette, sub-family B (MDR/TAP), member 5"	"7"	"p14"	"NC_000007.13"	"UD_144439237922"	"46"	"340273"	"611785"
"ABCB6"	"ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)"	"2"	"q36"	"NG_032110.1"	"UD_144439238317"	"47"	"10058"	"605452"
"ABCB9"	"ATP-binding cassette, sub-family B (MDR/TAP), member 9"	"12"	"q24"	"NC_000012.11"	"UD_144439239759"	"50"	"23457"	"605453"
"ABCB10"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10"	"1"	"q32"	"NC_000001.10"	"UD_144439237417"	"41"	"23456"	"605454"
"ABCC4"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"	"13"	"q31"	"NC_000013.10"	"UD_144439242559"	"55"	"10257"	"605250"
"ABCC5"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 5"	"3"	"q27"	"NC_000003.11"	"UD_144439243048"	"56"	"10057"	"605251"
"ABCC5-AS1"	"ABCC5 antisense RNA 1"	"3"	"q27.1"	"NC_000003.11"	"UD_144439243538"	"40055"	""	""
"ABCC6"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 6"	"16"	"p13.11"	"NG_007558.2"	"UD_144439243738"	"57"	"368"	"603234"
"ABCC8"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8"	"11"	"p15.1"	"NG_008867.1"	"UD_144439244688"	"59"	"6833"	"600509"
"ABCC10"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 10"	"6"	"p12.3"	"NC_000006.11"	"UD_144439240470"	"52"	"89845"	"612509"
"ABCC12"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"	"16"	"q12.1"	"NC_000016.9"	"UD_144439241702"	"14640"	"94160"	"607041"
"ABCC13"	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene"	"21"	"q11.2"	"NC_000021.8"	"UD_144439242077"	"16022"	"150000"	"608835"
"ABCD1"	"ATP-binding cassette, sub-family D (ALD), member 1"	"X"	"q28"	"NG_009022.1"	"UD_144439242379"	"61"	"215"	"300371"
"ABCE1"	"ATP-binding cassette, sub-family E (OABP), member 1"	"4"	"q31"	"NC_000004.11"	"UD_144439245563"	"69"	"6059"	"601213"
"ABCF1"	"ATP-binding cassette, sub-family F (GCN20), member 1"	"6"	"p21.33"	"NC_000006.11"	"UD_144439245761"	"70"	"23"	"603429"
"ABCG1"	"ATP-binding cassette, sub-family G (WHITE), member 1"	"21"	"q22.3"	"NC_000021.8"	"UD_144439246254"	"73"	"9619"	"603076"
"ABCG2"	"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)"	"4"	"q22.1"	"NG_032067.2"	"UD_144439246535"	"74"	"9429"	"603756"
"ABCG4"	"ATP-binding cassette, sub-family G (WHITE), member 4"	"11"	"q23"	"NC_000011.9"	"UD_144439247274"	"13884"	"64137"	"607784"
"ABCG5"	"ATP-binding cassette, sub-family G (WHITE), member 5"	"2"	"p21"	"NG_008883.1"	"UD_144439247501"	"13886"	"64240"	"605459"
"ABCG8"	"ATP-binding cassette, sub-family G (WHITE), member 8"	"2"	"p21"	"NG_008884.1"	"UD_144439247885"	"13887"	"64241"	"605460"
"ABHD1"	"abhydrolase domain containing 1"	"2"	"p23.3"	"NC_000002.11"	"UD_144439248142"	"17553"	"84696"	"612195"
"ABHD2"	"abhydrolase domain containing 2"	"15"	"q26.1"	"NC_000015.9"	"UD_144439248656"	"18717"	"11057"	"612196"
"ABHD3"	"abhydrolase domain containing 3"	"18"	"q11.1"	"NC_000018.9"	"UD_144439251889"	"18718"	"171586"	"612197"
"ABHD4"	"abhydrolase domain containing 4"	"14"	"q11.1"	"NC_000014.8"	"UD_144439252332"	"20154"	"63874"	""
"ABHD5"	"abhydrolase domain containing 5"	"3"	"p21.33"	"NG_007090.3"	"UD_144439252654"	"21396"	"51099"	"604780"
"ABHD6"	"abhydrolase domain containing 6"	"3"	"p21.2"	"NC_000003.11"	"UD_144439252986"	"21398"	"57406"	""
"ABHD8"	"abhydrolase domain containing 8"	"19"	"p13.12"	"NC_000019.9"	"UD_144439253220"	"23759"	"79575"	""
"ABHD12"	"abhydrolase domain containing 12"	"20"	"p11.21"	"NG_028119.1"	"UD_144439249238"	"15868"	"26090"	"613599"
"ABHD12B"	"abhydrolase domain containing 12B"	"14"	"q21.3"	"NC_000014.8"	"UD_144439249620"	"19837"	"145447"	""
"ABHD14A"	"abhydrolase domain containing 14A"	"3"	"p21.1"	"NC_000003.11"	"UD_144439250145"	"24538"	"25864"	""
"ABHD14A-ACY1"	"ABHD14A-ACY1 readthrough (NMD candidate)"	"3"	"p21.2"	"NC_000003.11"	"UD_144439250419"	"38856"	"100526760"	""
"ABHD14B"	"abhydrolase domain containing 14B"	"3"	"p21.2"	"NC_000003.11"	"UD_144439250832"	"28235"	"84836"	""
"ABHD15"	"abhydrolase domain containing 15"	"17"	"q11.2"	"NC_000017.10"	"UD_144439251067"	"26971"	"116236"	""
"ABHD16A"	"abhydrolase domain containing 16A"	"6"	"p21.3"	"NC_000006.11"	"UD_144439251357"	"13921"	"7920"	"142620"
"ABHD16B"	"abhydrolase domain containing 16B"	"20"	"q13.33"	"NC_000020.10"	"UD_144439251514"	"16128"	"140701"	""
"ABI1"	"abl-interactor 1"	"10"	"p12.1"	"NG_030025.1"	"UD_144439253832"	"11320"	"10006"	"603050"
"ABI2"	"abl-interactor 2"	"2"	"q33"	"NC_000002.11"	"UD_144439254288"	"24011"	"10152"	"606442"
"ABI3BP"	"ABI family, member 3 (NESH) binding protein"	"3"	"q12.2"	"NC_000003.11"	"UD_144439255394"	"17265"	"25890"	"606279"
"ABL1"	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	"9"	"q34.1"	"NG_012034.1"	"UD_144439256866"	"76"	"25"	"189980"
"ABL2"	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	"1"	"q25.2"	"NG_028242.1"	"UD_144439257325"	"77"	"27"	"164690"
"ABLIM3"	"actin binding LIM protein family, member 3"	"5"	"q33.1"	"NC_000005.9"	"UD_144439258358"	"29132"	"22885"	"611305"
"ABO"	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	"9"	"q34.2"	"NG_006669.1"	"UD_144439258609"	"79"	"28"	"110300"
"ABRA"	"actin binding Rho activating protein"	"8"	"q23.1"	"NC_000008.10"	"UD_144439258938"	"30655"	"137735"	"609747"
"ABRACL"	"ABRA C-terminal like"	"6"	"q24.1"	"NC_000006.11"	"UD_144439259132"	"21230"	"58527"	""
"ACAA2"	"acetyl-CoA acyltransferase 2"	"18"	"q21"	"NC_000018.9"	"UD_144439260212"	"83"	"10449"	"604770"
"ACACA"	"acetyl-CoA carboxylase alpha"	"17"	"q12"	"NG_023295.2"	"UD_144439260692"	"84"	"31"	"200350"
"ACACB"	"acetyl-CoA carboxylase beta"	"12"	"q24.1"	"NC_000012.11"	"UD_144439261013"	"85"	"32"	"601557"
"ACAD8"	"acyl-CoA dehydrogenase family, member 8"	"11"	"q25"	"LRG_448"	"UD_144439261483"	"87"	"27034"	"604773"
"ACAD10"	"acyl-CoA dehydrogenase family, member 10"	"12"	"q24.12"	"NC_000012.11"	"UD_144439261933"	"21597"	"80724"	"611181"
"ACAD11"	"acyl-CoA dehydrogenase family, member 11"	"3"	"q22.1"	"NG_042830.1"	"UD_144439262384"	"30211"	"84129"	"614288"
"ACADL"	"acyl-CoA dehydrogenase, long chain"	"2"	"q34"	"NG_008002.1"	"UD_144439262718"	"88"	"33"	"609576"
"ACADM"	"acyl-CoA dehydrogenase, C-4 to C-12 straight chain"	"1"	"p31"	"NG_007045.2"	"UD_144439263429"	"89"	"34"	"607008"
"ACADS"	"acyl-CoA dehydrogenase, C-2 to C-3 short chain"	"12"	"q24.31"	"NG_007991.1"	"UD_144439263974"	"90"	"35"	"606885"
"ACADSB"	"acyl-CoA dehydrogenase, short/branched chain"	"10"	"q26.13"	"LRG_451"	"UD_144439264350"	"91"	"36"	"600301"
"ACADVL"	"acyl-CoA dehydrogenase, very long chain"	"17"	"p13.1"	"NG_007975.1"	"UD_144439264715"	"92"	"37"	"609575"
"ACAP1"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	"17"	"p13.1"	"NC_000017.10"	"UD_144439265161"	"16467"	"9744"	"607763"
"ACAP2"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	"3"	"q29"	"NC_000003.11"	"UD_144439265337"	"16469"	"23527"	"607766"
"ACAP3"	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	"1"	"p36"	"NC_000001.10"	"UD_144473866450"	"16754"	"116983"	""
"ACAT1"	"acetyl-CoA acetyltransferase 1"	"11"	"q22.3"	"NG_009888.1"	"UD_144473866749"	"93"	"38"	"607809"
"ACAT2"	"acetyl-CoA acetyltransferase 2"	"6"	"q25.3"	"NG_023389.1"	"UD_144473974566"	"94"	"39"	"100678"
"ACBD3"	"acyl-CoA binding domain containing 3"	"1"	"q41"	"NG_028985.1"	"UD_144473869702"	"15453"	"64746"	"606809"
"ACBD4"	"acyl-CoA binding domain containing 4"	"17"	"q21.31"	"NC_000017.10"	"UD_144473870003"	"23337"	"79777"	""
"ACBD7"	"acyl-CoA binding domain containing 7"	"10"	"p13"	"NC_000010.10"	"UD_144473871001"	"17715"	"414149"	""
"ACCS"	"1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)"	"11"	"p11"	"NC_000011.9"	"UD_144473871245"	"23989"	"84680"	"608405"
"ACCSL"	"1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like"	"11"	"p11.2"	"NC_000011.9"	"UD_144473871542"	"34391"	"390110"	""
"ACD"	"adrenocortical dysplasia homolog (mouse)"	"16"	"q22"	"NG_042874.1"	"UD_144473871773"	"25070"	"65057"	"609377"
"ACE"	"angiotensin I converting enzyme"	"17"	"q23.3"	"NG_011648.1"	"UD_144473872377"	"2707"	"1636"	"106180"
"ACE2"	"angiotensin I converting enzyme 2"	"X"	"p22"	"NG_012575.1"	"UD_144473872520"	"13557"	"59272"	"300335"
"ACER1"	"alkaline ceramidase 1"	"19"	"p13.3"	"NC_000019.9"	"UD_144473975124"	"18356"	"125981"	"613491"
"ACER2"	"alkaline ceramidase 2"	"9"	"p21.3"	"NC_000009.11"	"UD_144473975260"	"23675"	"340485"	"613492"
"ACER3"	"alkaline ceramidase 3"	"11"	"q13.5"	"NC_000011.9"	"UD_144473975750"	"16066"	"55331"	""
"ACHE"	"acetylcholinesterase (Yt blood group)"	"7"	"q22"	"NG_007474.1"	"UD_144473881191"	"108"	"43"	"100740"
"ACMSD"	"aminocarboxymuconate semialdehyde decarboxylase"	"2"	"q21.3"	"NC_000002.11"	"UD_144473881544"	"19288"	"130013"	"608889"
"ACO1"	"aconitase 1, soluble"	"9"	"p21.1"	"NC_000009.11"	"UD_144473881750"	"117"	"48"	"100880"
"ACOT1"	"acyl-CoA thioesterase 1"	"14"	"q24.3"	"NC_000014.8"	"UD_144473882067"	"33128"	"641371"	"614313"
"ACOT4"	"acyl-CoA thioesterase 4"	"14"	"q24.1"	"NC_000014.8"	"UD_144473882508"	"19748"	"122970"	"614314"
"ACOT6"	"acyl-CoA thioesterase 6"	"14"	"q24.3"	"NC_000014.8"	"UD_144473882716"	"33159"	"641372"	"614267"
"ACOT8"	"acyl-CoA thioesterase 8"	"20"	"q13.12"	"NC_000020.10"	"UD_144473882936"	"15919"	"10005"	"608123"
"ACOT9"	"acyl-CoA thioesterase 9"	"X"	"p22.11"	"NG_016780.1"	"UD_144473883263"	"17152"	"23597"	"300862"
"ACOT13"	"acyl-CoA thioesterase 13"	"6"	"p22.1"	"NC_000006.11"	"UD_144473976521"	"20999"	"55856"	"615652"
"ACOX1"	"acyl-CoA oxidase 1, palmitoyl"	"17"	"q25.1"	"NG_008190.1"	"UD_144473886293"	"119"	"51"	"609751"
"ACOX2"	"acyl-CoA oxidase 2, branched chain"	"3"	"p14.3"	"NC_000003.11"	"UD_144473886598"	"120"	"8309"	"601641"
"ACOXL"	"acyl-CoA oxidase-like"	"2"	"q13"	"NC_000002.11"	"UD_144474239268"	"25621"	"55289"	""
"ACP2"	"acid phosphatase 2, lysosomal"	"11"	"p11.2"	"NG_023296.1"	"UD_144473979728"	"123"	"53"	"171650"
"ACP5"	"acid phosphatase 5, tartrate resistant"	"19"	"p13.2"	"NG_028127.1"	"UD_144473982438"	"124"	"54"	"171640"
"ACPP"	"acid phosphatase, prostate"	"3"	"q22.1"	"NC_000003.11"	"UD_144473982748"	"125"	"55"	"171790"
"ACR"	"acrosin"	"22"	"q13.33"	"NC_000022.10"	"UD_144473897946"	"126"	"49"	"102480"
"ACRBP"	"acrosin binding protein"	"12"	"p13.31"	"NC_000012.11"	"UD_144474239659"	"17195"	"84519"	"608352"
"ACRC"	"acidic repeat containing"	"X"	"q13.1"	"NC_000023.10"	"UD_144473985686"	"15805"	"93953"	"300369"
"ACRV1"	"acrosomal vesicle protein 1"	"11"	"q24.2"	"NC_000011.9"	"UD_144473903649"	"127"	"56"	"102525"
"ACSBG1"	"acyl-CoA synthetase bubblegum family member 1"	"15"	"q23-q24"	"NC_000015.9"	"UD_144473904025"	"29567"	"23205"	"614362"
"ACSBG2"	"acyl-CoA synthetase bubblegum family member 2"	"19"	"p13.3"	"NC_000019.9"	"UD_144473986005"	"24174"	"81616"	"614363"
"ACSL1"	"acyl-CoA synthetase long-chain family member 1"	"4"	"q35.1"	"NC_000004.11"	"UD_144473907023"	"3569"	"2180"	"152425"
"ACSL3"	"acyl-CoA synthetase long-chain family member 3"	"2"	"q34-q35"	"NC_000002.11"	"UD_144473907728"	"3570"	"2181"	"602371"
"ACSL5"	"acyl-CoA synthetase long-chain family member 5"	"10"	"q25.2"	"NC_000010.10"	"UD_144473908043"	"16526"	"51703"	"605677"
"ACSL6"	"acyl-CoA synthetase long-chain family member 6"	"5"	"q31"	"NG_028290.1"	"UD_144473908385"	"16496"	"23305"	"604443"
"ACSM1"	"acyl-CoA synthetase medium-chain family member 1"	"16"	"p12.3"	"NC_000016.9"	"UD_144473908843"	"18049"	"116285"	"614357"
"ACSM2A"	"acyl-CoA synthetase medium-chain family member 2A"	"16"	"p12.3"	"NC_000016.9"	"UD_144473909216"	"32017"	"123876"	"614358"
"ACSM2B"	"acyl-CoA synthetase medium-chain family member 2B"	"16"	"p12.3"	"NC_000016.9"	"UD_144473909714"	"30931"	"348158"	"614359"
"ACSM3"	"acyl-CoA synthetase medium-chain family member 3"	"16"	"p13.11"	"NC_000016.9"	"UD_144473986947"	"10522"	"6296"	"145505"
"ACSM4"	"acyl-CoA synthetase medium-chain family member 4"	"12"	"p13.31"	"NC_000012.11"	"UD_144474432525"	"32016"	"341392"	"614360"
"ACSM5"	"acyl-CoA synthetase medium-chain family member 5"	"16"	"p12.3"	"NC_000016.9"	"UD_144473915388"	"26060"	"54988"	"614361"
"ACSS2"	"acyl-CoA synthetase short-chain family member 2"	"20"	"q11.22"	"NG_011520.1"	"UD_144473915628"	"15814"	"55902"	"605832"
"ACSS3"	"acyl-CoA synthetase short-chain family member 3"	"12"	"q21.31"	"NC_000012.11"	"UD_144473995528"	"24723"	"79611"	"614356"
"ACTA1"	"actin, alpha 1, skeletal muscle"	"1"	"q42.13"	"LRG_429"	"UD_144473918684"	"129"	"58"	"102610"
"ACTA2"	"actin, alpha 2, smooth muscle, aorta"	"10"	"q23.31"	"LRG_781"	"UD_144473918985"	"130"	"59"	"102620"
"ACTB"	"actin, beta"	"7"	"p22"	"LRG_132"	"UD_144474001462"	"132"	"60"	"102630"
"ACTBL2"	"actin, beta-like 2"	"5"	"q11.2"	"NC_000005.9"	"UD_144473921931"	"17780"	"345651"	"614835"
"ACTC1"	"actin, alpha, cardiac muscle 1"	"15"	"q14"	"LRG_388"	"UD_144474010623"	"143"	"70"	"102540"
"ACTG1P4"	"actin gamma 1 pseudogene 4"	"1"	"p21"	"NC_000001.10"	"UD_144474010934"	"149"	"648740"	""
"ACTG2"	"actin, gamma 2, smooth muscle, enteric"	"2"	"p13.1"	"NG_034140.1"	"UD_144473927902"	"145"	"72"	"102545"
"ACTL6A"	"actin-like 6A"	"3"	"q26.33"	"NC_000003.11"	"UD_144474011272"	"24124"	"86"	"604958"
"ACTL6B"	"actin-like 6B"	"7"	"q22"	"NC_000007.13"	"UD_144474011570"	"160"	"51412"	"612458"
"ACTL7A"	"actin-like 7A"	"9"	"q31"	"NC_000009.11"	"UD_144482892611"	"161"	"10881"	"604303"
"ACTL7B"	"actin-like 7B"	"9"	"q31"	"NC_000009.11"	"UD_144473936361"	"162"	"10880"	"604304"
"ACTL8"	"actin-like 8"	"1"	"p36.13"	"NC_000001.10"	"UD_144473936529"	"24018"	"81569"	""
"ACTL9"	"actin-like 9"	"19"	"p13.2"	"NC_000019.9"	"UD_144473936737"	"28494"	"284382"	""
"ACTL10"	"actin-like 10"	"20"	"q11.22"	"NC_000020.10"	"UD_144473936911"	"16127"	"170487"	""
"ACTN1"	"actinin, alpha 1"	"14"	"q24.1"	"LRG_886"	"UD_144474015070"	"163"	"87"	"102575"
"ACTN4"	"actinin, alpha 4"	"19"	"q13"	"NG_007082.2"	"UD_144473939894"	"166"	"81"	"604638"
"ACTR1B"	"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)"	"2"	"q11.2"	"NC_000002.11"	"UD_144473940064"	"168"	"10120"	"605144"
"ACTR2"	"ARP2 actin-related protein 2 homolog (yeast)"	"2"	"p14"	"NC_000002.11"	"UD_144473940246"	"169"	"10097"	"604221"
"ACTR3BP2"	"ACTR3B pseudogene 2"	"2"	"p11.1"	"NC_000002.11"	"UD_144473940792"	"38677"	"440888"	""
"ACTR3BP5"	"ACTR3B pseudogene 5"	"10"	"p11.1"	"NC_000010.10"	"UD_144473940968"	"38682"	"399746"	""
"ACTR3C"	"ARP3 actin-related protein 3 homolog C (yeast)"	"7"	"q36.1"	"NC_000007.13"	"UD_144473941163"	"37282"	"653857"	""
"ACTR5"	"ARP5 actin-related protein 5 homolog (yeast)"	"20"	"q12"	"NC_000020.10"	"UD_144473941319"	"14671"	"79913"	""
"ACTR10"	"actin-related protein 10 homolog (S. cerevisiae)"	"14"	"q23.1"	"NC_000014.8"	"UD_144473941790"	"17372"	"55860"	""
"ACTRT1"	"actin-related protein T1"	"X"	"q25"	"NG_021358.1"	"UD_144473941898"	"24027"	"139741"	"300487"
"ACTRT3"	"actin-related protein T3"	"3"	"q26.2"	"NC_000003.11"	"UD_144474263704"	"24022"	"84517"	"608534"
"ACVR1"	"activin A receptor, type I"	"2"	"q23-q24"	"NG_008004.1"	"UD_144473944993"	"171"	"90"	"102576"
"ACVR1B"	"activin A receptor, type IB"	"12"	"q13"	"NG_022926.1"	"UD_144474018860"	"172"	"91"	"601300"
"ACVR2B"	"activin A receptor, type IIB"	"3"	"p22"	"NG_011791.1"	"UD_144474019142"	"174"	"93"	"602730"
"ACVR2B-AS1"	"ACVR2B antisense RNA 1"	"3"	"p22.2"	"NC_000003.11"	"UD_144473950694"	"44161"	"100128640"	""
"ACY1"	"aminoacylase 1"	"3"	"p21.2"	"NG_012036.1"	"UD_144473950967"	"177"	"95"	"104620"
"ACYP1"	"acylphosphatase 1, erythrocyte (common) type"	"14"	"q24.3"	"NC_000014.8"	"UD_144473951197"	"179"	"97"	"600875"
"ACYP2"	"acylphosphatase 2, muscle type"	"2"	"p16.2"	"NC_000002.11"	"UD_144474264059"	"180"	"98"	"102595"
"ADA"	"adenosine deaminase"	"20"	"q13.12"	"LRG_16"	"UD_144473954270"	"186"	"100"	"608958"
"ADAD2"	"adenosine deaminase domain containing 2"	"16"	"q24.1"	"NC_000016.9"	"UD_144473954660"	"30714"	"161931"	""
"ADAL"	"adenosine deaminase-like"	"15"	"q15.3"	"NC_000015.9"	"UD_144473954880"	"31853"	"161823"	""
"ADAM1A"	"ADAM metallopeptidase domain 1A (pseudogene)"	"12"	"q24.13"	"NC_000012.11"	"UD_144473955109"	"187"	"8759"	""
"ADAM5"	"ADAM metallopeptidase domain 5 (pseudogene)"	"8"	"p11.23"	"NC_000008.10"	"UD_144473955521"	"212"	"255926"	""
"ADAM6"	"ADAM metallopeptidase domain 6 (pseudogene)"	"14"	"q32.33"	"NC_000014.8"	"UD_144474022635"	"213"	"8755"	""
"ADAM8"	"ADAM metallopeptidase domain 8"	"10"	"q26.3"	"NC_000010.10"	"UD_144474022839"	"215"	"101"	"602267"
"ADAM10"	"ADAM metallopeptidase domain 10"	"15"	"q2"	"NG_033876.1"	"UD_144474264535"	"188"	"102"	"602192"
"ADAM11"	"ADAM metallopeptidase domain 11"	"17"	"q21.3"	"NC_000017.10"	"UD_144474026150"	"189"	"4185"	"155120"
"ADAM12"	"ADAM metallopeptidase domain 12"	"10"	"q26"	"NG_029050.1"	"UD_144474265191"	"190"	"8038"	"602714"
"ADAM17"	"ADAM metallopeptidase domain 17"	"2"	"p25"	"NG_029873.1"	"UD_144474032195"	"195"	"6868"	"603639"
"ADAM21"	"ADAM metallopeptidase domain 21"	"14"	"q24.2"	"NC_000014.8"	"UD_144474439702"	"200"	"8747"	"603713"
"ADAM21P1"	"ADAM metallopeptidase domain 21 pseudogene 1"	"14"	"q24.2"	"NC_000014.8"	"UD_144474057290"	"19822"	"145241"	""
"ADAM22"	"ADAM metallopeptidase domain 22"	"7"	"q21"	"NC_000007.13"	"UD_144474057676"	"201"	"53616"	"603709"
"ADAM28"	"ADAM metallopeptidase domain 28"	"8"	"p21.2"	"NG_029394.2"	"UD_144474058257"	"206"	"10863"	"606188"
"ADAM29"	"ADAM metallopeptidase domain 29"	"4"	"q34.1"	"NC_000004.11"	"UD_144474059091"	"207"	"11086"	"604778"
"ADAM32"	"ADAM metallopeptidase domain 32"	"8"	"p11.22"	"NC_000008.10"	"UD_144474059485"	"15479"	"203102"	""
"ADAM33"	"ADAM metallopeptidase domain 33"	"20"	"p13"	"NC_000020.10"	"UD_144474059673"	"15478"	"80332"	"607114"
"ADAMDEC1"	"ADAM-like, decysin 1"	"8"	"p12"	"NC_000008.10"	"UD_144474271632"	"16299"	"27299"	"606393"
"ADAMTS1"	"ADAM metallopeptidase with thrombospondin type 1 motif, 1"	"21"	"q21.3"	"NC_000021.8"	"UD_144474271750"	"217"	"9510"	"605174"
"ADAMTS2"	"ADAM metallopeptidase with thrombospondin type 1 motif, 2"	"5"	"q35.3"	"NG_023212.2"	"UD_144474066460"	"218"	"9509"	"604539"
"ADAMTS3"	"ADAM metallopeptidase with thrombospondin type 1 motif, 3"	"4"	"q21"	"NC_000004.11"	"UD_144474066632"	"219"	"9508"	"605011"
